token_clean,weighted_score
asleep,0.0005792336529861272
good,0.00025479290941398796
night,0.00018622698339113998
morning,0.00015307591242684303
care,0.00015059559323605566
sleep,0.00010974524421115642
plan,7.684580474186893e-05
form,7.492115309353219e-05
patch,6.165321651718301e-05
present,5.582260420335458e-05
new,5.2231635501006956e-05
medication,4.489757723151261e-05
ongoing,4.147912777347004e-05
pain,3.9865919491710865e-05
usual,3.68818102417833e-05
today,3.5654877290452246e-05
safety,3.243219034478419e-05
self,3.0930052997036396e-05
comfortable,2.8455702217020353e-05
overnight,2.7463466969016086e-05
unit,2.506868548726686e-05
complaint,2.4613389565133952e-05
safe,2.2716507573236284e-05
early,1.988023700242254e-05
room,1.937885242539393e-05
till,1.9328987087763918e-05
bed,1.7881234424550546e-05
independent,1.7740543816509385e-05
time,1.7334015544307066e-05
content,1.5110022439541645e-05
