token_clean,weighted_score
facial,-0.004934932460387124
pain,-0.0023679938744275817
continue,-0.0015411877232685695
right,-0.0010766828863023495
evaluation,-0.001058796011647481
request,-0.0008571743673395905
effect,-0.0005323757055986168
face,-0.0004923026983841014
fall,-0.00047129763082573987
time,-0.0004037131397085543
plan,-0.00033048504582322547
diet,-0.00020261866840943642
care,-9.369292008314296e-05
observe,-9.345524622042113e-05
safety,-5.108800425697384e-05
check,-4.997800207236942e-05
review,-4.466727641662094e-05
ili,0.0
con,0.0
due,0.0
chart,0.0
complain,0.0
administer,0.0
e,0.0
ret,0.0
note,0.0
inform,0.0
mob,0.0
resident,0.0
take,0.0
