,text,doc_id,category,factor_1_zero,factor_2_zero,factor_3_zero,factor_4_zero,factor_5_zero,factor_6_zero,factor_1_rule,factor_2_rule,factor_3_rule,factor_4_rule,factor_5_rule,factor_6_rule,score_type,score_type_comparison,high_or_low
1333,"a girl and a boy and a stool . cookies . cookie jar . open closet . curtains . oh the little boy's reaching for the cookies and the stool's falling over . she's laughing I think waiting for a cookie . the mother's drying dishes . the water's spilling over . there's two coffee cups , a saucer a plate . let me see . the view from the outside . a tree and some shrubs . the plate she's wiping . tea towel . any more ?",dementiaAudio_42,dementiaAudio,2.875906329410853,2.623600350262719,-1.768559244,1.165995008820383,-0.617296085,2.213095964434987,0.255034616,-0.196380315,0.093990828,-0.728261733,-0.452588097,-0.412208274,factor_1_zero,factor_1,highest
773,A textbook driven curriculum is when a teacher uses only the textbook to teach the class.  The curriculum does not use other materials just the textbook,yahoo_24849,yahoo,-2.630500588,-1.489145192,1.147790422356222,-0.280750485,0.865493115,-0.447071329,0.977550775,-1.045343805,-1.044408748,-0.134675653,-0.423124018,-0.394248848,factor_1_zero,factor_1,lowest
17853,#NAME?,syntheticCareHomeNurseNotes_2545,syntheticCareHomeNurseNotes,0.551873558,4.694726578498826,-0.016438325,0.852591696,-1.845768429,1.883492726883153,-0.716800108,3.204986429093246,2.654023604824539,-0.685306872,-0.414152605,-0.34353906,factor_2_zero,factor_2,highest
6571,Noncontributory to the present condition and review of his previous charts.,clinicalDialogueSummarizations_987,clinicalDialogueSummarizations,-1.633670054,-4.969086143,-0.201891006,-4.744041056,0.856782488,-1.78345513,-1.412540186,-0.289029837,1.571506162452031,-0.622599049,-0.414070484,-0.368553192,factor_2_zero,factor_2,lowest
287,"Introduction, Attention-getter, Thesis.. First Body Paragraph-Concrete Detail & Two Commentary. Concluding Sentence. ...Then the same for the second and third body paragraphs. Concluding Sentence & re-state Thesis",yahoo_30818,yahoo,-2.516404752,-0.137184704,3.494042802017238,4.091396997,-1.32136719,2.450982951244749,-1.111120337,-0.617707933,0.505961716,-0.867581134,-0.349250963,-0.378633857,factor_3_zero,factor_3,highest
2943,you mean starting from say left to right or whatever ? the brother or the boy is reaching into the cookie jar . and the sister could be laughing or cautioning him . and the stool is tipping over . and old mom is standing in a puddle drying dishes . and the sink is overflowing . and the perspective means the path is coming right in the house . and what else do you want ? well the mom is drying the dishes . she's getting her feet wet . and the sister's reaching for the cookie that's in the brother's hand or the kid's hand . yep .,dementiaAudio_134,dementiaAudio,0.851720899,1.124804459846819,-4.396289323,0.90496271,-2.246117661,1.520643219888394,0.930737259,-0.727546792,0.190666492,-0.384397795,-0.371006291,-0.374958615,factor_3_zero,factor_3,lowest
15491,"Concantenate or use the & sign. Insert a column say A, you have you car model in B & parts etc in C. in A1 type =B1&"" ""&C1. Hope this works for you",yahoo_2030,yahoo,0.039636685,-0.962134106,-0.08955446,4.311568186020501,-0.547909595,1.143081495876411,-0.02738702,-0.202633558,0.861946074,-0.710898187,-0.516779917,-0.320523383,factor_4_zero,factor_4,highest
2886,"Otherwise noncontributory.  There is no operation, serious illness or injury.",clinicalDialogueSummarizations_971,clinicalDialogueSummarizations,-1.896582815,-4.37130938,0.434765076,-5.020782181,-0.210983778,-1.224067084,0.074524546,0.003732142,0.842108282,-0.701126124,4.606520807699309,-0.374958615,factor_4_zero,factor_4,lowest
22772,hmm. Maybe they are filled with too much artificial stuff.,yahoo_35272,yahoo,-1.08904762,-1.396324633,0.019743337,-0.747239277,3.989155761380811,1.041001137776265,0.446732478,-1.371086423,-1.399587961,-0.67276279,-0.386336791,-0.312636964,factor_5_zero,factor_5,highest
8895,"It is fair to describe Pope Francis's summons as a call to Christian adulthood, but not in some superficial or trite sense.  Rather he expects all Catholics to show a spirit of leadership,  independence, and good judgment.",huffPostNews_81838,huffPostNews,-0.53686167,-1.053346757,1.320587895937449,-0.121906531,-3.25453302,2.343664316151324,-0.031821652,-0.763086936,0.146570716,-0.174475041,1.90662431,-0.373884593,factor_5_zero,factor_5,lowest
6453,"""Make America great again, really great ― not just for the white and the wealthy and the male.""",huffPostNews_13732,huffPostNews,-0.002466492,-0.614422647,2.685467455265937,2.193353147951989,-1.587616281,3.536282285435744,1.155344098155566,-0.13003741,-3.356559175,-0.682531221,-0.406499011,-0.365675555,factor_6_zero,factor_6,highest
13429,They are just illiterate idiots! What they really mean is 'same thing' or 'no difference'. It really annoys me when people say it though LOL!,yahoo_69056,yahoo,-1.589176438,-1.586392288,0.636734456,-3.709752757,2.828084428167334,-4.703233437,1.861312411449167,0.398541086,-1.204421175,-0.779601316,-0.468274631,-0.434348276,factor_6_zero,factor_6,lowest
1815,well I needta read it . tell you . well that's the boy . he wants the cookies . and this must be the mother . is that all ? the little girl's helping . and he's falling over . well I don't know . and that's the mother . and I don't think she knows what they're up to .,dementiaAudio_488,dementiaAudio,2.179824250824565,0.850140394,-2.32366518,0.939756289,-1.238276708,-1.493802794,5.243441363154204,-0.488549191,-0.160335954,0.097816472,-0.416616942,-0.366413765,factor_1_rule,factor_1,highest
12236,A wrong exchange rate was applied to a transaction made abroad.,banking77_5500,banking77,0.804188583,-0.840154507,0.176076654,-0.505317767,0.664361725,0.076642287,-2.385435302,0.008580993,-3.93548818,-0.682403343,3.129245758857383,-0.241378869,factor_1_rule,factor_1,lowest
23621,#NAME?,syntheticCareHomeNurseNotes_1982,syntheticCareHomeNurseNotes,0.231632499,0.597523254,0.182558843,0.465926146,-0.283347586,0.067280393,-1.285996102,5.212308663425727,0.269537949,-0.72334491,-0.352836768,-0.35174952,factor_2_rule,factor_2,highest
14366,does my navy federal card have international transaction fees,clinc150_2954,clinc150,0.056223227,-0.315961799,0.612891884,0.41220755,0.318443803,1.089339845633648,-0.492842924,-2.952987326,0.170551828,-0.60412767,-0.399314309,-0.331429915,factor_2_rule,factor_2,lowest
1191,"Comparison of a hybrid with an uncemented total hip replacement. A retrospective matched-pair study. The efficacy of a type of uncemented total hip replacement was compared with that of a hybrid total hip replacement in which an uncemented acetabular and a cemented femoral component were used. Twenty-five patients who had had a hybrid total hip replacement were matched, by age, weight, sex, and diagnosis, with twenty-five patients who had had an uncemented total hip replacement. All of the operations were done by one surgeon, who used the same operative approach and the same regimen of postoperative rehabilitation. All of the patients were followed for at least two years. The mean postoperative hip score was 96 points for the hybrid group and 84 points for the cementless group (p less than 0.02). Twenty-four (96 per cent) of the patients who had a hybrid prosthesis reported no or only slight pain postoperatively. In the uncemented group, of the six patients (24 per cent) who reported mild to severe pain, five had pain in the thigh, a limp occurred more frequently, five femoral components had migrated, and four hips needed reoperation. The results with the hybrid replacement that had a cemented femoral component were superior to those with the uncemented femoral component over the relatively brief period for which these patients were followed.",medicalAbstracts_12589,medicalAbstracts,-1.624161629,0.533273017,0.995038268,0.040417919,1.916612067095347,-1.334946844,-0.263160769,0.165796947,6.145461820735095,-0.620410682,1.844157027675329,-0.094113206,factor_3_rule,factor_3,highest
5808,"You keep declining my transfers? It's always been working really well so far, but when I tried to buy something just now the card got declined. I tried couple times already but same thing.",banking77_5155,banking77,-0.193274974,0.380459103,0.156620097,-0.249237902,0.536842709,-1.002271342,0.507441211,-0.038353634,-6.16866111,-0.351203898,-0.479372884,-0.450228264,factor_3_rule,factor_3,lowest
2148,what steps should i take if i want to ensure my credit score doesn't drop,clinc150_4603,clinc150,0.564443331,-0.125226622,-1.199970991,0.234981754,-0.972956257,0.065761171,1.367373842923582,-1.070372069,-0.245418938,6.360105835997707,-0.434666652,-0.373850232,factor_4_rule,factor_4,highest
1,list all flights going from boston to atlanta before 7 o'clock am on thursday,atis_2010,atis,-1.200341016,-0.989405069,0.923169649,-0.204761033,-0.235638318,0.688346974,-0.871802907,-0.753147197,0.133903477,-0.867581134,2.259773747400362,-0.378633857,factor_4_rule,factor_4,lowest
22492,"As the Dust Bowl was caused by widespread drought in the 1930's, I doubt global warming was a factor yet. It was a natural event, but if the Midwest had still been pairie instead of farm land, it's effect may not have been as severe.",yahoo_42109,yahoo,-0.537736375,0.604184066,-1.248586431,-0.66269724,-0.184545355,-0.128330457,0.482446988,0.790544656,-0.59449493,1.072591241646041,7.574604937881018,-0.357898611,factor_5_rule,factor_5,highest
45,when will my application for my credit card be processed,clinc150_989,clinc150,0.508404153,-0.59974735,-0.504128754,-0.147665971,0.06198197,1.298710130050298,0.499658617,-0.164547073,-0.476489763,1.597671859564011,-0.562739892,-0.452718595,factor_5_rule,factor_5,lowest
12403,"I want to believe that when you are sworn in as president of the United States, you will not banish us from this country.",huffPostNews_41998,huffPostNews,0.246583511,0.668456242,-0.506225819,2.152660146562645,-0.948213182,1.455444268189837,0.873950997,0.264438316,-0.566445234,0.981908369,-0.361297089,7.953418387268108,factor_6_rule,factor_6,highest
45,when will my application for my credit card be processed,clinc150_989,clinc150,0.508404153,-0.59974735,-0.504128754,-0.147665971,0.06198197,1.298710130050298,0.499658617,-0.164547073,-0.476489763,1.597671859564011,-0.562739892,-0.452718595,factor_6_rule,factor_6,lowest
